Temperature,Humidity,WindSpeed,Rainfall,Outfit,Outdoor Outfit,Formal Outfit,Party Outfit,Casual Outfit
13,94,10.23,12.2,"Light Jacket, Full-Sleeve Shirt, Jeans","Jacket, Sweater, Jeans, Sneakers","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
14,84,25.66,58.73,"Light Jacket, Full-Sleeve Shirt, Jeans","Jacket, Sweater, Jeans, Sneakers","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
30,73,21.17,13.02,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
28,77,10.65,84.63,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-8,25,4.04,98.93,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-1,77,16.54,70.97,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
11,82,13.38,41.39,"Light Jacket, Full-Sleeve Shirt, Jeans","Jacket, Sweater, Jeans, Sneakers","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
39,37,16.31,56.6,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-14,54,36.25,21.39,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
25,94,1.91,29.66,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
37,41,3.06,60.8,"Shorts, Cotton T-Shirt, Sandals, Sunglasses","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
18,67,17.65,45.83,"Light Jacket, Full-Sleeve Shirt, Jeans","Casual Shirt, Jeans, Comfortable Shoes","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
31,6,4.08,77.99,"Shorts, Cotton T-Shirt, Sandals, Sunglasses","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
36,64,6.02,44.98,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
3,47,26.39,14.38,"Winter Coat, Sweater, Scarf, Boots","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-2,90,15.97,34.56,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
9,64,3.74,83.23,"Winter Coat, Sweater, Scarf, Boots","Jacket, Sweater, Jeans, Sneakers","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
33,35,35.53,78.27,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
47,52,25.84,58.99,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
16,55,19.31,52.56,"Light Jacket, Full-Sleeve Shirt, Jeans","Casual Shirt, Jeans, Comfortable Shoes","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
8,18,17.49,58.05,"Winter Coat, Sweater, Scarf, Boots","Jacket, Sweater, Jeans, Sneakers","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
37,5,20.68,16.91,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
34,83,36.49,11.05,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
27,10,28.18,23.65,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
21,66,13.79,0.19,"Raincoat, Waterproof Shoes, Light Clothes","Casual Shirt, Jeans, Comfortable Shoes","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
25,10,0.02,25.46,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
45,38,13.72,13.71,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-12,90,4.84,79.84,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
47,59,7.42,46.48,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-6,47,39.45,48.28,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
8,9,14.73,2.59,"Winter Coat, Sweater, Scarf, Boots","Jacket, Sweater, Jeans, Sneakers","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
14,45,7.02,92.38,"Light Jacket, Full-Sleeve Shirt, Jeans","Jacket, Sweater, Jeans, Sneakers","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
-14,96,15.16,15.59,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
6,24,31.19,82.18,"Winter Coat, Sweater, Scarf, Boots","Jacket, Sweater, Jeans, Sneakers","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-12,87,20.79,69.57,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-1,84,1.55,14.61,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
15,26,32.1,1.06,"Light Jacket, Full-Sleeve Shirt, Jeans","Casual Shirt, Jeans, Comfortable Shoes","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
-8,93,16.52,62.9,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-1,33,35.77,37.83,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
13,75,12.18,42.27,"Light Jacket, Full-Sleeve Shirt, Jeans","Jacket, Sweater, Jeans, Sneakers","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
16,61,5.42,43.83,"Light Jacket, Full-Sleeve Shirt, Jeans","Casual Shirt, Jeans, Comfortable Shoes","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
31,55,24.03,1.37,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-7,11,6.22,63.55,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
38,27,9.43,61.2,"Shorts, Cotton T-Shirt, Sandals, Sunglasses","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-2,55,30.62,72.38,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
28,25,32.49,12.57,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-13,77,15.74,40.35,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
25,49,4.4,44.43,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
28,32,21.49,79.4,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
20,63,3.02,96.78,"Raincoat, Waterproof Shoes, Light Clothes","Casual Shirt, Jeans, Comfortable Shoes","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
24,37,35.31,15.05,"Raincoat, Waterproof Shoes, Light Clothes","Casual Shirt, Jeans, Comfortable Shoes","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
38,50,0.42,20.24,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-15,97,10.58,19.0,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
7,96,32.7,23.11,"Winter Coat, Sweater, Scarf, Boots","Jacket, Sweater, Jeans, Sneakers","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
45,6,21.46,98.79,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
38,81,27.06,27.87,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
11,71,15.33,46.23,"Light Jacket, Full-Sleeve Shirt, Jeans","Jacket, Sweater, Jeans, Sneakers","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
-6,74,15.55,14.62,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
31,23,24.27,46.09,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
19,93,29.94,0.31,"Light Jacket, Full-Sleeve Shirt, Jeans","Casual Shirt, Jeans, Comfortable Shoes","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
5,73,7.13,88.47,"Winter Coat, Sweater, Scarf, Boots","Jacket, Sweater, Jeans, Sneakers","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
7,70,22.85,79.53,"Winter Coat, Sweater, Scarf, Boots","Jacket, Sweater, Jeans, Sneakers","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-10,85,32.99,65.86,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-8,51,10.11,1.01,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
12,24,9.63,77.55,"Light Jacket, Full-Sleeve Shirt, Jeans","Jacket, Sweater, Jeans, Sneakers","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
39,23,18.78,62.05,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
26,73,0.49,31.46,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
20,32,33.66,88.93,"Raincoat, Waterproof Shoes, Light Clothes","Casual Shirt, Jeans, Comfortable Shoes","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
39,6,24.51,75.22,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
38,67,35.69,90.72,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-1,74,22.44,16.67,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
10,48,2.68,83.31,"Light Jacket, Full-Sleeve Shirt, Jeans","Jacket, Sweater, Jeans, Sneakers","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
37,98,21.18,7.38,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
41,24,39.95,95.67,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
2,73,8.58,75.78,"Winter Coat, Sweater, Scarf, Boots","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
28,23,35.79,90.52,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
28,70,18.32,56.13,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-2,34,16.44,53.42,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
42,93,15.38,61.35,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
38,69,14.39,94.15,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-3,44,17.09,52.68,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
29,51,21.28,43.87,"Raincoat, Waterproof Shoes, Light Clothes","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
2,9,11.39,60.94,"Winter Coat, Sweater, Scarf, Boots","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
46,70,16.68,89.14,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
36,76,28.52,80.62,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
5,72,7.52,67.17,"Winter Coat, Sweater, Scarf, Boots","Jacket, Sweater, Jeans, Sneakers","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-15,92,12.65,39.79,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-10,34,30.32,42.07,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
-5,77,35.11,37.89,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
14,72,30.27,89.24,"Light Jacket, Full-Sleeve Shirt, Jeans","Jacket, Sweater, Jeans, Sneakers","Formal Suit, Shirt, Tie, Leather Shoes","Blazer, Dress Shirt, Dark Jeans, Dress Shoes","T-shirt, Jacket, Joggers, Casual Shoes"
33,99,37.55,90.81,"Loose Cotton Clothing, Cap, Sunscreen, Hydration Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
-12,9,21.08,54.01,"Heavy Winter Jacket, Gloves, Woolen Cap, Thermal Wear","Heavy Winter Jacket, Gloves, Woolen Cap, Boots","Suit with Overcoat, Formal Shoes, Gloves","Stylish Coat, Turtleneck, Formal Boots","Hoodie, Jeans, Sneakers"
45,61,11.48,81.71,"Minimal Clothing, Stay Indoors Recommended","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
38,38,13.39,94.85,"Shorts, Cotton T-Shirt, Sandals, Sunglasses","Light T-shirt, Shorts, Sandals, Sunglasses","Light Formal Shirt, Formal Pants, Loafers","Casual Blazer, T-shirt, Chinos, Loafers","Polo Shirt, Shorts, Sneakers"
